exercise_id,full_name,category,sub_muscles,muscle_ids,equipment
207,Lever Shoulder Press,Shoulders,Front,18,Shoulder press machine
635,Lever Shrug,Shoulders,Rear,20,Shrug machine
636,Lever Shrug,Shoulders,Rear,20,Shrug machine
203,Push Press Shoulders,Shoulders,Front,18,Barbell
200,Smith Seated Shoulder Press,Shoulders,Front,18,Smith machine
201,Weighted Round Arm,Shoulders,Front,18,Weight plates
149,Barbell Close Grip Bench,Triceps,Medial Head,8,Barbell
150,Barbell Decline Close Grip To Skull,Triceps,Long Head,10,Adjustable bench | Barbell
151,Barbell Incline Reverse grip Press,Triceps,Long Head,10,Adjustable bench | Barbell
172,Barbell Incline Triceps Extension Skull Crusher,Triceps,Long Head,10,Adjustable bench | Barbell
152,Barbell Lying Triceps Extension,Triceps,Long Head,10,Barbell
164,Bench Dip on Floor,Triceps,Medial Head,8,Adjustable bench
153,Cable Alternate Triceps Extension,Triceps,Lateral Head,9,Single high/low pulley
154,Cable Concentration Extension - on knee,Triceps,Lateral Head,9,Single high/low pulley
167,Cable High Pulley Overhead Triceps Extension,Triceps,Long Head,10,Single high/low pulley
174,Cable High Triceps Extension,Triceps,Long Head,10,Single high/low pulley
155,Cable Incline Triceps Extension,Triceps,Long Head,10,Adjustable bench | Single high/low pulley
169,Cable Kneeling Triceps Extension,Triceps,Long Head,10,Single high/low pulley
173,Cable Neutral Grip Kickback,Triceps,Lateral Head,9,Single high/low pulley
165,Cable One Arm Side Triceps Pushdown,Triceps,Lateral Head,9,Cable attachment: single handle | Single high/low pulley
156,Cable Pushdown - rope attachment,Triceps,Lateral Head,9,Cable attachment: rope | Single high/low pulley
157,Cable Rear Drive,Triceps,Medial Head,8,Single high/low pulley
158,Cable Reverse grip Pushdown,Triceps,Medial Head,8,Single high/low pulley
423,Cable Single Arm Triceps Pushdown (Rope Attachment),Triceps,Lateral Head,9,Cable attachment: rope | Cable attachment: single handle | Single high/low pulley
425,Cable Standing Crossover Overhead Triceps Extension,Triceps,Long Head,10,Dual adjustable pulley / cable crossover
171,Cable Standing High Cross Triceps Extension,Triceps,Lateral Head,9,Single high/low pulley
416,Cable Standing One Arm Triceps Extension,Triceps,Lateral Head,9,Cable attachment: single handle | Single high/low pulley
168,Dumbbell Close Grip Press,Triceps,Medial Head,8,Dumbbells
424,Dumbbell Incline Squeeze Press,Triceps,Medial Head,8,Adjustable bench | Dumbbells
159,Dumbbell Lying Extension - across face,Triceps,Long Head,10,Dumbbells
418,Dumbbell Lying One Arm Supinated Triceps Extension,Triceps,Medial Head,8,Dumbbells
160,Dumbbell One Arm Triceps Extension,Triceps,Lateral Head,9,Dumbbells
421,Dumbbell Palm In Incline Bench Press,Triceps,Lateral Head,9,Adjustable bench | Dumbbells
426,Dumbbell Seated Alternate Overhead Triceps Extension,Triceps,Long Head,10,Dumbbells
161,Dumbbell Seated Bench Extension,Triceps,Long Head,10,Dumbbells
427,Dumbbell Standing French Press,Triceps,Long Head,10,Dumbbells
162,Dumbbell Standing Kickback,Triceps,Lateral Head,9,Dumbbells
419,EZ Barbell Seated Triceps Extension,Triceps,Lateral Head,9,EZ-curl bar
170,Lever Triceps Dip,Triceps,Medial Head,8,Dip bars / parallel bars
420,Smith Close Grip Bench Press,Triceps,Lateral Head,9,Adjustable bench | Smith machine
422,Smith Machine Incline Tricep Extension,Triceps,Long Head,10,Adjustable bench | Smith machine
163,Triceps Dip,Triceps,Medial Head,8,Dip bars / parallel bars
175,Weighted Incline Svend Press,Triceps,Medial Head,8,Adjustable bench
176,Weighted Incline Svend Press - Low,Triceps,Medial Head,8,Adjustable bench
